"","MSLQ0","MSLQ2","AVSI0","AVSI2","Comp0","Comp2","GPA"
"chisq",306.148714356149,24.1857184289868,24.1857184289868,24.1857184289868,24.1857184289868,24.1857184289868,38.531884289718
"df",18,13,13,13,13,13,19
"TLI",0.387492622102229,0.967077889078453,0.967077889078453,0.967077889078453,0.967077889078453,0.967077889078453,0.950792917148473
"CFI",0.606245257065719,0.984714734214996,0.984714734214996,0.984714734214996,0.984714734214996,0.984714734214996,0.974029595161694
"RMSEA",0.23216345911099,0.0538247523934067,0.0538247523934067,0.0538247523934067,0.0538247523934067,0.0538247523934067,0.0588324651546999
